Card Name,Mana Cost,Land Type,Type,Card Text,Attack,Health,Directions,Rarity
[Neutral],,,,,,,,
Common Commoner,0,,Unit,,1,1,u/d,Common
Unleashed Beast,1,,Unit,,1,3,u/l,Common
Polar Bear,2,,Unit,,2,2,d/l/r,Common
Thick Polar Bear,2,,Unit,,2,3,l/r,Common
Tall Polar Bear,2,,Unit,,2,3,u/d,Common
Confused Polar Bear,2,,Unit,Dizzy,2,3,u/l,Common
Spinny Bear Boy,2,,Unit,Dizzy,3,2,u/r,Common
Angry Polar Bear,2,,Unit,Pursuit,2,3,u/r,Common
Technowall,2,,Unit,,0,4,u/r,Common
Mountain Giant,3,,Unit,,3,3,d/l/r,Common
Tough Mountain Giant,3,,Unit,Collateral Damage,2,3,u/d,Common
Burly Mountain Giant,3,,Unit,Collateral Damage,2,3,l/r,Common
Confused Mountain Giant,3,,Unit,"Collateral Damage, Dizzy",3,2,d/l,Common
Big Lion,4,,Unit,,4,5,u/l/r,Common
Big Arm Lion,4,,Unit,Collateral Damage,3,4,l/r,Common
Chasing Lion,4,,Unit,Pursuit,4,4,d/l,Common
Angry Wrecking Ball,5,,Unit,Collateral Damage,4,4,u/d,Common
Big Angry Kraken Monster,6,,Unit,Collateral Damage,5,6,u/d/l,Common
Angry Chasing Bear,6,,Unit,"Collateral Damage, Pursuit",4,6,u/d/r,Common
Army Leader,7,,Unit,"Whenever this kills a unit, you may put a unit from your hand onto the battlefield.",5,5,d/l/r,Common
Hey die hehe,2,,Spell,Destroy target unit that attacks in all directions.,,,,Common
,,,,,,,,
[Purple],,,,,,,,
Mix it Up,P,P,Spell,Turn target unit 90 degrees. Draw a card.,,,,Common
Unsummon,P,P,Spell,Return target unit to its owner's hand.,,,,Common
Wrong Address,P,A,Spell,Prevent all combat damage that would be dealt during your opponent's next combat step.,,,,Common
Exploit the Chaos,P,Y,Spell,Swap the position of 2 units.,,,,Common
Boy to Bot,P2,P,Spell,Transform a unit into a 0/4.,,,,Common
Gather Intel,P2,P,Spell,Draw two spells.,,,,Common
Location Change,P3,R,Spell,Shift all units to a chosen side of the board.,,,,Common
Mass Confusion,PP3,R,Spell,All units deal their attack damage to themselves.,,,,Common
Paranoia Agent,P2,P,Unit,Battlecry: Rotate another target unit 90 degrees.,2,2,u/r,Common
Chaos Beneficier,PP2,Y,Unit,Battlecry: Swap this unit's position with another target unit.,3,4,l/d,Common
Calculated Mastermind,P1,P,Unit,Battlecry: Draw a card.,0,3,u/r,Common
Really Smart Guy,PP4,A,Unit,"Whenever the opponent draws a card, you draw two cards. ",7,9,u/l/r,Mythic
Remand,P1,P,Spell,Return a unit to its owner's hand. Draw a card.,,,,Rare
Instant Transmission,P1,P,Spell,Move a unit to any open cell.,,,,
Drag em down,P3,P,Spell,"All units slide left. Then, all units slide down.",,,,Common
Unbeknownst Theft,PP4,P,Spell,Gain control of target creature,,,,Rare
Master of Trickery,PP4,P,Unit,"Whenever a unit enters the battlefield, swap its position with this unit.",5,7,u/l/r,Rare
Calling in the boys,PX,Y,Spell,Dial X,,,,Uncommon
Surprising reveal,PPX,P,Spell,"Dial X. If the dialed card draws you cards, return any number of enemy creatures to their owners hand, equal to the cards drawn this way",,,,Rare
Switcheroo,PPP4,P,Spell,"Remove all friendly cards from the field, and all cards from your influence pile. Put all cards removed from this influence pile on to the field, and cast all spells. Put all cards removed from the field into your influence pile",,,,Rare
Mutual Benefits,P2,P,Spell,"Each player looks at the top card of their library. You may add this card to your influence pile. Otherwise, draw a card.",,,,Uncommon
Hidden Agenda,PP3,P,Spell,Take an extra turn after this one,,,,Rare
Bearer of bad news,PP4,P,Unit,Units can only attack left and right,4,5,l/r,Rare
Secret Admierer,P3,P,Unit,Trap: Return the trapped unit to it's owners hand,3,4,u/d,Common
Dial up,PPP,P,Spell,Pay X life: Dial X where X is the life payed,,,,Rare
Secret Keeper,PP2,P,Unit,"Whenever you dial a card, you may return a creature to it's owners hand",3,3,l/r,Uncommon
Body Guard,P2,P,Unit,Dial 4,1,4,u/r,Common
There and back again,PX,P,Spell,"Dial X, then return the card to your influence pile at the end of the turn",,,,Rare
Dial em' in,PP,P,Spell,You may cast cards in your influence pile as though they were in your hand this turn,,,,Rare
